page	image_file	note
1	page-000.jpg	Could work as a person or a candle
2	page-001.jpg	Could work more as abstract for an area of the program for text overlay; Could work as parsley a tree
3	page-002.jpg	cups
4	page-003.jpg	Puppet head option
5	page-004.jpg	Candles
6	page-005.jpg	Abstract
7	page-006.jpg	(no note text extracted)
8	page-007.jpg	(no note text extracted)
9	page-008.jpg	Om thinking this is great for the cover its basically disorder overall (with background deleted as an idea)
10	page-009.jpg	(no note text extracted)
11	page-010.jpg	(no note text extracted)
12	page-011.jpg	Egg
13	page-012.jpg	Daughter
14	page-013.jpg	Donkey 1
15	page-014.jpg	Donkey 1
16	page-015.jpg	Egg
17	page-016.jpg	Candles
18	page-017.jpg	Puppet option
19	page-018.jpg	(no note text extracted)
