funder,year,amount_usd,tier,notes,source
Atlantic Foundation,,500000,$500K+,Anchored 2014 Chelsea-exit; "seed funding... with proceeds from the sale of Eyebeam's former building on West 21st Street",technically.ly + eyebeam.org
Andrew W. Mellon Foundation,2020,150000,major,Rapid Response Fund (12mo),mellon.org
Andrew W. Mellon Foundation,2021,600000,major,General operating support (36mo),mellon.org
Andrew W. Mellon Foundation,2021,500000,major,Democracy Machine (per press; aggregate of Mellon entries),news.artnet.com
Andrew W. Mellon Foundation,2023,92400,major,Indigenous-writers residency (Momus + Forge Project; 9mo),mellon.org
Andrew W. Mellon Foundation,2024,150000,major,AI & arts convening (12mo),mellon.org
Henry Luce Foundation,2020,150000,major,COVID Emergency Grant (Public Policy program),hluce.org
Henry Luce Foundation,2021,150000,major,Democracy Machine (per press),news.artnet.com
Ford Foundation,2021,650000,major,Democracy Machine,artnews.com
Craig Newmark Philanthropies,,,major,Listed on support page,eyebeam.org
National Endowment for the Arts,,,major,Recurring; year-by-year amounts TBD,eyebeam.org
Capital One,,,significant ($20K+),Listed on support page,eyebeam.org
Jerome Foundation,2025,,significant ($20K+),Speculating on Plurality residency (current),jeromefdn.org
MacArthur Foundation,,,significant ($20K+),Listed on support page,eyebeam.org
New York State Council on the Arts (NYSCA),,,significant ($20K+),Recurring; year-by-year amounts TBD,eyebeam.org
NYC Department of Cultural Affairs (DCLA),,,,Listed in adjacent records; not on current support page TBD,eyebeam.org / standard NYC nonprofit funder
Silicon Valley Community Foundation,,,significant ($20K+),Listed on support page,eyebeam.org
Willem de Kooning Foundation,,,significant ($20K+),Listed on support page,eyebeam.org
Beatrice Snyder Foundation,,,significant ($20K+),Listed on support page,eyebeam.org
Cy Twombly Foundation,,,major donor ($10K+),Listed on support page,eyebeam.org
David Howe Foundation,,,major donor ($10K+),Listed on support page,eyebeam.org
Helen Frankenthaler Foundation,,,major donor ($10K+),Listed on support page,eyebeam.org
Stavros Niarchos Foundation,,,major donor ($10K+),Listed on support page,eyebeam.org
Surdna Foundation,,,major donor ($10K+),Listed on support page,eyebeam.org
Teiger Foundation,,,major donor ($10K+),Listed on support page; also recurring Rhizome funder,eyebeam.org
Zicarelli Foundation,,,major donor ($10K+),Listed on support page (David Zicarelli is Advisory Board),eyebeam.org
Bialkin Foundation,,,mid-level ($5K-9.9K),Listed on support page,eyebeam.org
Destina Foundation,,,mid-level ($5K-9.9K),Listed on support page,eyebeam.org
Rodney L White Foundation,,,mid-level ($5K-9.9K),Listed on support page,eyebeam.org
Andrea Harner,,,individual ($1K+),Listed on support page,eyebeam.org
Aaron Koblin,,,individual ($1K+),Listed on support page,eyebeam.org
Ruby Lerner,,,individual ($1K+),Board member; listed on support page,eyebeam.org
Kenyatta Cheese,,,individual ($1K+),Board Vice-Chair; listed on support page,eyebeam.org
Kathleen O'Grady,,,individual ($1K+),Advisory Board; listed on support page,eyebeam.org
Ellen Sandor,,,individual ($1K+),Board Secretary; listed on support page,eyebeam.org
R. Luke DuBois,,,individual ($1K+),Advisory Board; listed on support page,eyebeam.org
Davis Wright Tremaine LLP,,,pro bono,Pro-bono legal support,eyebeam.org
Andy Warhol Foundation,,,,Mentioned in adjacent press as new-media-arts funder; not on current eyebeam.org/support page (TBD),inferred
Knight Foundation,,,,Mentioned in adjacent press; not on current support page (TBD),inferred
