period,program,format,host_or_collaborator,frequency,fee_or_tuition,notes,source
2022--present,Gallery exhibits,monthly to quarterly visual-art exhibits in upstairs gallery,(rotating exhibiting artist),~6--10/year (visible),free to view,"early identified exhibits: Kendra Yee (May--Jun 2022), Jesse Moynihan (Jun--Jul 2022), 'Emerging' (Jul--Aug 2022), Tiny Splendor 10th Anniversary (Oct 2022)",heavymannerslibrary.com/events
2024--present,Risograph Printing 101,~3-hour workshop on the RZ390 risograph,(in-house staff),~monthly (visible),paid (Eventbrite ticketed),"intro workshop on machine basics and producing a small print; printer was acquired in roughly 2024",Eventbrite + Hyperallergic
2023--present,Heavy Manners Comics Fair,2-day comics fair,(self-presented),annual or semi-annual (Spring 2023; Fall 2025 visible),free to attend,independent comics tabling event,heavymannerslibrary.com/events
2024--present,Heavy Manners Zine Fair,2-day zine fair,(self-presented; open call),annual (2026 edition Apr 11--12),free to attend,"poetry / politics / music / comics / science range; open application Mar 2 deadline for 2026",heavymannerslibrary.com/events + Eventbrite
2024 or 2025--present,Heavy Manners Spring Fundraiser,2-week fundraiser exhibit,(self-presented),annual (first edition Jun 5),donations / paid art and prints,community fundraiser to support the space,heavymannerslibrary.com/events
2022--present,EPFC Collective screenings,16mm / Super-8 / experimental film screenings,Echo Park Film Center Collective,recurring,donation / ticketed,"basement microcinema; the Echo Park Film Center Collective hosts screenings here after EPFC's storefront closed in Jan 2022; documented program: 'The Films of Craig Baldwin: A Benefit Screening'",Hyperallergic + EPFC Collective + heavymannerslibrary.com/events
2025--present,Channels (dublab live broadcast),music + interview live broadcast,Jordan Collins / Lewis Thompson / Nia Michelle (dublab),at least one documented (2025-05-10),free,"eclectic music + interview series broadcast live from HML; partnership with dublab",dublab archive
2024--present,Comedy nights,stand-up / comedy showcase,(via The Comedy Bureau listings),recurring,ticketed,documented host listing in The Comedy Bureau,The Comedy Bureau
2024--present,Hollywood Entertainment 'Overnight @ Heavy Manners Library',late-night programming series,Hollywood Entertainment,recurring,ticketed,"event series listed on hollywood-entertainment.com",hollywood-entertainment.com
2024--present,Live music + poetry readings,performance evenings,(rotating),recurring,ticketed,bands and poets perform downstairs,Hyperallergic
2024--present,DIY workshops,figure-drawing / stitching / comics / etc.,(rotating instructors),recurring,paid (Eventbrite),"founder describes goal as 'empower people' so visitors are 'on equal footing with performing artists'",Hyperallergic + SJSU iSchool
2024,LAMAG Friday Art Nights guest programming,zine-vendor pop-ups + outdoor projections,LA Municipal Art Gallery (host),Sep 5/12/19/26 5--8pm,free,"4-week residency at LAMAG's Barnsdall Park pine grove",lamag.org/heavy-manners-library
