year,event,category,source
1996,Mark Tribe founds Rhizome as an email list (Berlin),org,Wikipedia / Rhizome 25 announcement
1997,Formal organization established,org,Wikipedia
1999,IRS 501(c)(3) approval (August),org,IRS / ProPublica
1999,ArtBase launched (online archive of new media art),program,Wikipedia / Rhizome 25
2001,Commissions Program founded,program,Rhizome 25 announcement
2003,Affiliated with the New Museum of Contemporary Art (Bowery NYC),org,Wikipedia / Rhizome 25
2005,ArtBase 101 exhibition at the New Museum,program,Wikipedia
2006,Mark Tribe steps down; Lauren Cornell becomes director,leadership,multiple
2010,Formal preservation program established,program,Rhizome 25
2010,Seven on Seven annual conference launched at New Museum,program,Wikipedia
2012,Lauren Cornell departs; Heather Corcoran becomes ED,leadership,990 filings
2013,New York New York Happy Happy (NY NY HP HP) experiential artwork,program,Wikipedia
2014,Colloq social media archiving tool launched; web archiving program begins,program,Wikipedia
2015,VVORK archive unveiled,program,Wikipedia
2015,rhizome.org redesigned (Wieden+Kennedy),program,Wikipedia
2015,OldWeb.Today launched,program,Wikipedia
2015,First Mellon grant for Webrecorder ($600K),funding,mellon.org
2016,Heather Corcoran departs; Zachary Kaplan becomes ED,leadership,990 filings
2016,Webrecorder.io public tool released (August),program,Wikipedia
2016,Net Art Anthology launched (October),program,Wikipedia
2016,FY2016 990 shows revenue spike to $1.46M,funding,IRS 990
2017,Mellon Webrecorder Phase Two ($1M),funding,mellon.org
2018,FY2018 990 shows revenue spike to $1.7M (Anthology midrun),funding,IRS 990
2019,Net Art Anthology concludes (after two-year run),program,Rhizome editorial
2019,ArtBase relaunched (post-Anthology),program,Rhizome editorial
2019,Mellon Webrecorder sustainability planning grant ($146K),funding,mellon.org
2020,Webrecorder.io renamed Conifer; Webrecorder spun out as separate entity,program,Wikipedia / Conifer launch
2021,Mellon Change Capital grant ($1M / 5 yr) for long-term resilience,funding,mellon.org / Rhizome 25
2021,Board adds Lindsay Howard, Trevor McFedries, Mendi+Keith Obadike,leadership,Rhizome 25 announcement
2021,Development Director and Community Designer roles created,leadership,Rhizome 25
2022,FY2022 990 shows revenue spike to $2.16M (Webrecorder spin-out + activity),funding,IRS 990
2022,The Longest Whistlegraph Ever (so far) commissioned (First Look) and accessioned to ArtBase,program,arxiv-whistlegraph
2022,Zachary Kaplan departs as ED,leadership,990 filings
2023,Makayla Bailey + Michael Connor become Co-Executive Directors,leadership,990 filings
2024,Mellon ArtBase overhaul grant ($750K / 36 mo),funding,mellon.org
2024,Makayla Bailey departs; Michael Connor remains as Co-ED,leadership,990 filings
2024,Net assets fall to $262K from $1.1M in FY2022 (two-year drawdown),funding,IRS 990
2025,Conifer discontinuation announced (December 2025),program,Wikipedia
2026,Conifer service ends (June 2026),program,Wikipedia
