period,program,format,location,students_count,tuition_or_fee,sponsor,notes,source
Fall 2013,SFPC 01,10-week intensive,Hudson NY (?) -> NYC,15,~$5000,(self-funded by tuition),"first semester; 15 students; profit/loss reconciled in 01 report; $700 tuition refund offered to each student","finance/01/readme.md"
Spring 2014,2-week,2-week intensive,Orbital 155 Rivington st,?,?,(tuition),"first short-form session; was not profitable; learning experience for budgeting","2015/readme.md (retrospective)"
Fall 2014,10-week,10-week intensive,Orbital 155 Rivington st,?,?,(tuition),"Steering Committee formed during Fall 2014: Pitaru Burtch Benedetto Gardner Choi Brain Lieberman","2015/readme.md"
Spring 2015,10-week,10-week intensive,Orbital 155 Rivington st,18,$5000 + 9 scholarships,(tuition),"students from US Spain South Korea China Mexico Denmark Ukraine Turkey Greece Japan; Babycastles donated final-show space","2015/readme.md"
Summer 2015,2-week part-time,evening 2-week,Babycastles 137 W 14th St,10,$1500,(tuition),"part-time evenings to enable students keeping day jobs; cash-flow problem (Choi loaned $2000 personal)","2015/readme.md"
Spring 2018,10-week,10-week intensive,Westbeth 155 Bank St,18,$93500 total,(tuition + 2 work-study),"first session at Westbeth; rent rising to $3000/month; profit $11015","2018/readme.md"
Jan 2019,Code Societies,3-week intensive,Westbeth 155 Bank St,?,(tuition deposits Dec 2018),(tuition),"taught by Melanie Hoff and Brian Watson","2019/readme.md"
Feb 2019,Code Paper Scissors,2-week,Westbeth 155 Bank St,?,(tuition),(tuition),,"2019/readme.md"
Spring 2019,10-week,10-week intensive,Westbeth 155 Bank St,?,(tuition),(tuition),"Mar--May 2019","2019/readme.md"
Aug 2019,Poetic Computation: Detroit,1-week remote,Detroit MI,?,(no tuition),Knight Foundation,"first sponsored remote program; Knight Foundation underwrote operational costs","2019/readme.md"
Sep 2019,SFPC Summer in Yamaguchi,2-week remote,YCAM Yamaguchi Japan,?,(no tuition),YCAM,"YCAM (Yamaguchi Center for Arts and Media) hosted; covered space salary lodging travel materials","2019/readme.md"
Fall 2019,10-week,10-week intensive,Westbeth 155 Bank St,?,(tuition),(tuition),"Sep--Dec 2019","2019/readme.md"
Spring 2020,(cancelled),(cancelled),Westbeth (cancelled),0,0,(none),"COVID-19 forced cancellation; GoFundMe launched",GoFundMe + 2019 lessons learned
Summer 2020 onwards,online classes,short-form online,(remote),varies,varies,(tuition + grants),"pivoted to online format; Code Societies online; introduced shorter classes",sfpc.io archive
2024+,various,short-form online + summer NYC,National Academy of Design 519 W 26th + online,varies,varies,Ford Foundation + Art for Justice + tuition,"residency at National Academy of Design (June--Aug 2026)",sfpc.study/about
Summer 2026 Online,Media Folklores,short-form,online,varies,varies,(tuition),"with manuel arturo abreu and Zoe Butler",sfpc.study
Summer 2026 Online,Page Against the Machine,short-form,online,varies,varies,(tuition),"with Ariel Yelen",sfpc.study
Summer 2026 Online,Stealing Back the Archive,short-form,online,varies,varies,(tuition),"with Kandis Williams",sfpc.study
Summer 2026 NYC,Future Schools residency,2.5-month residency,National Academy of Design 519 W 26th 2nd Fl,?,?,(co-presented),"Jun 9 -- Aug 22 2026; 5 workshops + 3 public talks",sfpc.study
