fiscal_year_end,filing_status,total_revenue,contributions_grants,program_service_revenue,total_expenses,top_exec_compensation,total_assets,total_liabilities,net_assets,filing_url,source
2024-06,filed,4323450,3702005,16686,3388609,185462,17824102,1181200,16642902,https://projects.propublica.org/nonprofits/organizations/132829756/202521329349302557/full,ProPublica summary (FY2024 — second full Without Walls year)
2023-06,filed,6742034,6378084,133115,2910677,173465,18231252,2273641,15957611,https://projects.propublica.org/nonprofits/organizations/132829756/202401349349304515/full,"ProPublica summary (FY2023 — Mellon $2M arrives June 2023; capital-campaign year)"
2022-06,filed,4058600,3855026,160467,2229097,119475,11979550,238739,11740811,https://projects.propublica.org/nonprofits/organizations/132829756/202331309349303833/full,ProPublica summary (FY2022 — building closes for renovation Fall 2022)
2021-06,filed,5093956,4456815,169234,2050182,161787,11182217,649510,10532707,https://projects.propublica.org/nonprofits/organizations/132829756/202241059349300019/full,ProPublica summary (FY2021 — campaign launch / 50th anniversary)
2020-06,filed,2495219,2281939,109230,2105927,174146,7516061,490478,7025583,https://projects.propublica.org/nonprofits/organizations/132829756/202140839349300144/full,ProPublica summary (FY2020 — COVID year; Griffin's last full year)
2019-06,filed,3609571,3105849,251000,2504156,174146,6637621,157945,6479676,https://projects.propublica.org/nonprofits/organizations/132829756/202001199349300920/full,ProPublica summary
2018-06,filed,2061516,1603600,253815,2214582,163476,5464016,117036,5346980,https://projects.propublica.org/nonprofits/organizations/132829756/201911199349301381/full,ProPublica summary
2017-06,filed,2009793,1624416,172974,2262508,163601,5368441,103481,5264960,https://projects.propublica.org/nonprofits/organizations/132829756/201801159349300635/full,ProPublica summary
2016-06,filed,3477618,1728050,172150,2125650,164223,5443639,64416,5379223,https://projects.propublica.org/nonprofits/organizations/132829756/201700959349300335/full,ProPublica summary (revenue spike; appears to include a major one-time gift)
2015-06,filed,2328380,1669750,464268,2115172,160500,4224319,138196,4086123,https://projects.propublica.org/nonprofits/organizations/132829756/201621269349301477/full,ProPublica summary
2014-06,filed,2608816,1750221,714937,2097982,157000,3966410,99269,3867141,https://projects.propublica.org/nonprofits/organizations/132829756/201501339349303970/full,"ProPublica summary (FY2014 — Getty archive sale; program-service revenue spike)"
2013-06,filed,1954573,1443632,127938,1854137,,3452494,166748,3285746,https://projects.propublica.org/nonprofits/organizations/132829756/201410849349300121/full,ProPublica summary
2012-06,filed,1634428,1401499,149861,1937560,,3231558,55548,3176010,https://projects.propublica.org/nonprofits/display_990/132829756/2013_06_EO%2F13-2829756_990_201206,"ProPublica summary (Hurricane Sandy hit Oct 2012; ~$450K damage)"
2011-06,filed,2195066,2012587,105103,1823293,,3640813,159478,3481335,https://projects.propublica.org/nonprofits/display_990/132829756/2012_06_EO%2F13-2829756_990_201106,ProPublica summary (Tim Griffin starts mid-year)
2010-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2011_06_EO%2F13-2829756_990_201006,ProPublica PDF — line items not yet extracted
2009-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2010_05_EO%2F13-2829756_990_200906,ProPublica PDF — line items not yet extracted
2008-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2009_05_EO%2F13-2829756_990_200806,ProPublica PDF — line items not yet extracted
2007-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2008_07_EO%2F13-2829756_990_200706,ProPublica PDF — line items not yet extracted
2006-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2007_02_EO%2F13-2829756_990_200606,ProPublica PDF — line items not yet extracted
2005-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2006_03_EO%2F13-2829756_990_200506,ProPublica PDF — line items not yet extracted
2004-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2005_02_EO%2F13-2829756_990_200406,ProPublica PDF — line items not yet extracted
2003-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2003_12_EO%2F13-2829756_990_200306,ProPublica PDF — line items not yet extracted
2002-06,PDF only,,,,,,,,,https://projects.propublica.org/nonprofits/display_990/132829756/2002_12_EO%2F13-2829756_990_200206,ProPublica PDF — earliest 990 on ProPublica
