beat,seconds,playedNotes,playedHats,track_61_total,track_89_total,track_63_total,track_55_total,track_60_total,track_66_total,track_67_total,track_52_total,track_65_total,track_22_total,track_23_total,track_2_total,track_3_total,track_undefined_total,track_undefined_total,track_61_hat,track_89_hat,track_63_hat,track_55_hat,track_60_hat,track_66_hat,track_67_hat,track_52_hat,track_65_hat,track_22_hat,track_23_hat,track_2_hat,track_3_hat,track_undefined_hat,track_undefined_hat
0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.2240,6.7600,28,28,0,21,0,5,0,1,1,0,0,0,0,0,0,0,0,0,21,0,5,0,1,1,0,0,0,0,0,0,0,0
32.4480,13.5200,54,54,0,44,0,8,0,1,1,0,0,0,0,0,0,0,0,0,44,0,8,0,1,1,0,0,0,0,0,0,0,0
48.6240,20.2600,77,77,0,61,0,11,3,1,1,0,0,0,0,0,0,0,0,0,61,0,11,3,1,1,0,0,0,0,0,0,0,0
64.7520,26.9800,118,118,0,78,0,22,12,1,1,0,0,4,0,0,0,0,0,0,78,0,22,12,1,1,0,0,4,0,0,0,0,0
80.8320,33.6800,185,185,0,91,0,27,16,1,1,0,0,49,0,0,0,0,0,0,91,0,27,16,1,1,0,0,49,0,0,0,0,0
97.0080,40.4200,267,267,0,116,0,31,19,1,1,0,0,99,0,0,0,0,0,0,116,0,31,19,1,1,0,0,99,0,0,0,0,0
113.6160,47.3400,294,294,0,139,0,35,19,1,1,0,0,99,0,0,0,0,0,0,139,0,35,19,1,1,0,0,99,0,0,0,0,0
130.7520,54.4800,321,321,0,162,0,38,20,1,1,0,0,99,0,0,0,0,0,0,162,0,38,20,1,1,0,0,99,0,0,0,0,0
146.9280,61.2200,344,344,0,179,0,41,23,1,1,0,0,99,0,0,0,0,0,0,179,0,41,23,1,1,0,0,99,0,0,0,0,0
160.2720,66.7800,379,379,0,194,0,51,31,1,1,0,0,101,0,0,0,0,0,0,194,0,51,31,1,1,0,0,101,0,0,0,0,0
176.8320,73.6800,524,524,0,207,0,56,34,1,1,0,0,225,0,0,0,0,0,0,207,0,56,34,1,1,0,0,225,0,0,0,0,0
193.0560,80.4400,755,755,0,233,0,59,37,1,3,0,0,422,0,0,0,0,0,0,233,0,59,37,1,3,0,0,422,0,0,0,0,0
210.0000,87.5000,867,867,0,255,0,63,37,7,10,0,0,495,0,0,0,0,0,0,255,0,63,37,7,10,0,0,495,0,0,0,0,0
226.3680,94.3200,944,944,0,275,0,68,42,18,10,0,0,531,0,0,0,0,0,0,275,0,68,42,18,10,0,0,531,0,0,0,0,0
242.4480,101.0200,1177,1177,0,295,0,86,48,26,10,0,0,712,0,0,0,0,0,0,295,0,86,48,26,10,0,0,712,0,0,0,0,0
259.0560,107.9400,1557,1557,0,319,0,87,48,44,11,0,0,1048,0,0,0,0,0,0,319,0,87,48,44,11,0,0,1048,0,0,0,0,0
272.4000,113.5000,1847,1847,0,335,0,91,52,44,18,0,0,1307,0,0,0,0,0,0,335,0,91,52,44,18,0,0,1307,0,0,0,0,0
289.2000,120.5000,2199,2199,0,345,0,102,57,44,27,0,0,1624,0,0,0,0,0,0,345,0,102,57,44,27,0,0,1624,0,0,0,0,0
305.8080,127.4200,2717,2717,0,364,0,133,60,44,29,0,0,2087,0,0,0,0,0,0,364,0,133,60,44,29,0,0,2087,0,0,0,0,0
322.7040,134.4600,3361,3361,0,376,0,144,60,44,34,0,0,2703,0,0,0,0,0,0,376,0,144,60,44,34,0,0,2703,0,0,0,0,0
339.1680,141.3200,4051,4051,0,403,0,146,60,44,34,0,0,3364,0,0,0,0,0,0,403,0,146,60,44,34,0,0,3364,0,0,0,0,0
352.3200,146.8000,4781,4781,0,439,0,157,60,44,34,0,0,4047,0,0,0,0,0,0,439,0,157,60,44,34,0,0,4047,0,0,0,0,0
369.2640,153.8600,5608,5608,0,472,0,177,60,51,34,0,0,4814,0,0,0,0,0,0,472,0,177,60,51,34,0,0,4814,0,0,0,0,0
386.0160,160.8400,5986,5986,0,485,0,184,60,53,34,0,0,5170,0,0,0,0,0,0,485,0,184,60,53,34,0,0,5170,0,0,0,0,0
402.8160,167.8400,6222,6222,0,496,0,209,60,53,34,0,0,5370,0,0,0,0,0,0,496,0,209,60,53,34,0,0,5370,0,0,0,0,0
419.0400,174.6000,6602,6602,0,504,0,229,60,53,34,0,0,5722,0,0,0,0,0,0,504,0,229,60,53,34,0,0,5722,0,0,0,0,0
432.0480,180.0200,6866,6866,0,508,0,239,60,53,34,0,0,5972,0,0,0,0,0,0,508,0,239,60,53,34,0,0,5972,0,0,0,0,0
448.4640,186.8600,7028,7028,0,508,0,245,60,53,34,0,0,6128,0,0,0,0,0,0,508,0,245,60,53,34,0,0,6128,0,0,0,0,0
465.2640,193.8600,7070,7070,0,508,0,283,60,53,34,0,0,6132,0,0,0,0,0,0,508,0,283,60,53,34,0,0,6132,0,0,0,0,0
482.4000,201.0000,7084,7084,0,508,0,297,60,53,34,0,0,6132,0,0,0,0,0,0,508,0,297,60,53,34,0,0,6132,0,0,0,0,0
498.8160,207.8400,7094,7094,0,508,0,307,60,53,34,0,0,6132,0,0,0,0,0,0,508,0,307,60,53,34,0,0,6132,0,0,0,0,0
512.6400,213.6000,7098,7098,0,508,0,311,60,53,34,0,0,6132,0,0,0,0,0,0,508,0,311,60,53,34,0,0,6132,0,0,0,0,0
529.2480,220.5200,7105,7105,0,508,0,318,60,53,34,0,0,6132,0,0,0,0,0,0,508,0,318,60,53,34,0,0,6132,0,0,0,0,0
